Venta real,Predicción LightGBM
5203,6409.008731262559
8590,9081.377728392403
6465,7476.029336914473
7250,5922.012441980917
4339,5624.004412657622
4221,6595.048417820135
5258,5093.414231137255
6882,7201.194883965721
10413,10822.27769508651
7090,8933.236666801238
11747,8100.286853677698
11660,10471.508335467499
3765,4255.904457284093
9905,10146.284705587957
4144,4580.913648577886
3858,4989.040195371066
4350,4135.426420420189
3563,4144.797386501904
5691,6265.689602210836
4135,4895.89316268252
8744,7120.94349197662
8103,9968.997396870705
8870,7466.167386570186
13780,9200.70394361909
8975,7839.816027191446
6524,4662.775208204241
4304,4428.309453984489
8568,8640.659344715956
6907,7563.0300599438415
2694,4231.836330102508
4341,6004.107659127099
16867,13449.889297936357
6177,7406.780668404909
7047,6503.206653122915
6200,8108.922488741275
4875,5443.678790494963
7370,7185.297093269729
3792,6138.448329111449
7423,7764.803024915509
6404,6840.479167699676
9872,9247.03817009689
4309,5859.996383753619
5885,7292.540114107446
9032,8206.00711330649
13192,8881.163404463547
7381,8876.947901264513
8893,9923.332138758335
4368,5223.60962886439
10094,9543.53148436226
5483,6373.941649682539
11360,10081.567876461673
8305,6990.370781039767
3027,4846.357225538717
5116,7184.734370322971
3414,5235.822878626117
8428,6732.853244017637
6312,6792.110072764508
5797,7358.040976040026
3789,4511.097634750685
6271,5523.805614227996
7255,9774.347802955283
4422,5405.445429247901
3332,4479.495344660844
8678,7655.2845072421405
4228,6729.950079029879
9623,7732.0972432259105
6080,6300.978935368168
8059,7156.829941094399
11482,9975.005611440914
6555,7537.79453103675
10723,8879.235248745756
2419,4297.05807580136
9420,6999.9455395815085
2339,3963.071318643144
15638,10418.889803047923
3046,3968.742299290869
5532,7312.022744834116
10864,9660.843621050239
10667,8723.085578622356
10062,8403.35190286398
3659,5888.962975216357
8715,9640.738237177567
5090,5225.818872300011
5272,5177.175136882994
4165,5166.708001485914
6663,6866.915566353611
7835,7667.457790966447
6593,7668.5492008938
6383,5985.028399632981
10766,7875.33111802201
4273,5696.829291658109
9145,9757.206425859498
5476,5556.398154500388
4189,4980.5847623540185
